"Number","Name","Generation","About","Types__001","Types__002","Resistant__001","Resistant__002","Resistant__003","Resistant__004","Resistant__005","Resistant__006","Resistant__007","Resistant__008","Resistant__009","Resistant__010","Resistant__011","Resistant__012","Weaknesses__001","Weaknesses__002","Weaknesses__003","Weaknesses__004","Weaknesses__005","Weaknesses__006","Weaknesses__007","Fast Attack(s)__Name","Fast Attack(s)__Type","Fast Attack(s)__Damage","Special Attack(s)__Name","Special Attack(s)__Type","Special Attack(s)__Damage","Weight__Minimum","Weight__Maximum","Height__Minimum","Height__Maximum","Buddy Distance","Base Stamina","Base Attack","Base Defense","Base Flee Rate","Pokèmon Class","MYTHIC","LEGENDARY","Common Capture Area","North America","Western Europe","Australia, New Zealand","Asia","Previous evolution(s)__Number","Previous evolution(s)__Name","Next Evolution Requirements__Amount","Next Evolution Requirements__Name","Next evolution(s)__Number","Next evolution(s)__Name","MaxCP","MaxHP"
"222","Corsola","Generation II","Corsola's branches glitter very beautifully in seven colors when they catch sunlight. If any branch breaks off, this Pokémon grows it back in just one night.","Water","Rock","Normal","Fire","Ice","Poison","Flying","","","","","","","","Electric","Grass","Fighting","Ground","","","","Tackle","Normal","12","Struggle","Normal","15","4.38kg","5.63kg","0.53m","0.69m","1km (Medium)","110 stamina points.","118 attack points.","156 defense points.","5% chance to flee.","","","","","","","","","","","","","","","",""
"223","Remoraid","Generation II","Remoraid sucks in water, then expels it at high velocity using its abdominal muscles to shoot down flying prey. When evolution draws near, this Pokémon travels downstream from rivers.","Water","","Fire","Water","Ice","Steel","","","","","","","","","Electric","Grass","","","","","","Tackle","Normal","12","Struggle","Normal","15","10.5kg","13.5kg","0.53m","0.69m","1km (Medium)","70 stamina points.","127 attack points.","69 defense points.","5% chance to flee.","","","","","","","","","","","","","224","Octillery","",""
"224","Octillery","Generation II","Octillery grabs onto its foe using its tentacles. This Pokémon tries to immobilize it before delivering the finishing blow. If the foe turns out to be too strong, Octillery spews ink to escape.","Water","","Fire","Water","Ice","Steel","","","","","","","","","Electric","Grass","","","","","","Tackle","Normal","12","Struggle","Normal","15","24.94kg","32.06kg","0.78m","1m","1km (Medium)","150 stamina points.","197 attack points.","141 defense points.","5% chance to flee.","","","","","","","","","223","Remoraid","","","","","",""
"225","Delibird","Generation II","Delibird carries its food bundled up in its tail. There once was a famous explorer who managed to reach the peak of the world's highest mountain, thanks to one of these Pokémon sharing its food.","Ice","Flying","Grass","Ground","Bug","","","","","","","","","","Fire","Electric","Rock","Steel","","","","Tackle","Normal","12","Struggle","Normal","15","14kg","18kg","0.78m","1m","1km (Medium)","90 stamina points.","128 attack points.","90 defense points.","5% chance to flee.","","","","","","","","","","","","","","","",""
"226","Mantine","Generation II","On sunny days, schools of Mantine can be seen elegantly leaping over the sea's waves. This Pokémon is not bothered by the Remoraid that hitches rides.","Water","Flying","Fire","Water","Fighting","Ground","Bug","Steel","","","","","","","Electric","Rock","","","","","","Tackle","Normal","12","Struggle","Normal","15","192.5kg","247.5kg","1.85m","2.37m","1km (Medium)","130 stamina points.","148 attack points.","260 defense points.","5% chance to flee.","","","","","","","","","","","","","","","",""
"227","Skarmory","Generation II","Skarmory is entirely encased in hard, protective armor. This Pokémon flies at close to 190 mph. It slashes foes with its wings that possess swordlike cutting edges.","Steel","Flying","Normal","Grass","Poison","Flying","Psychic","Bug","Dragon","Steel","Fairy","","","","Fire","Electric","","","","","","Tackle","Normal","12","Struggle","Normal","15","44.19kg","56.81kg","1.49m","1.91m","1km (Medium)","130 stamina points.","148 attack points.","260 defense points.","5% chance to flee.","","","","","","","","","","","","","","","",""
"228","Houndour","Generation II","Houndour hunt as a coordinated pack. They communicate with each other using a variety of cries to corner their prey. This Pokémon's remarkable teamwork is unparalleled.","Dark","Fire","Fire","Grass","Ice","Psychic","Ghost","Dark","Steel","","","","","","Water","Fighting","Ground","Rock","","","","Tackle","Normal","12","Struggle","Normal","15","9.45kg","12.15kg","0.53m","0.69m","1km (Medium)","90 stamina points.","152 attack points.","93 defense points.","5% chance to flee.","","","","","","","","","","","","","229","Houndoom","",""
"229","Houndoom","Generation II","In a Houndoom pack, the one with its horns raked sharply toward the back serves a leadership role. These Pokémon choose their leader by fighting among themselves.","Dark","Fire","Fire","Grass","Ice","Psychic","Ghost","Dark","Steel","","","","","","Water","Fighting","Ground","Rock","","","","Tackle","Normal","12","Struggle","Normal","15","30.63kg","39.38kg","1.22m","1.57m","1km (Medium)","150 stamina points.","224 attack points.","159 defense points.","5% chance to flee.","","","","","","","","","228","Houndour","","","","","",""
"230","Kingdra","Generation II","Kingdra lives at extreme ocean depths that are otherwise uninhabited. It has long been believed that the yawning of this Pokémon creates spiraling ocean currents.","Water","Dragon","Fire","Water","Steel","","","","","","","","","","Dragon","Fairy","","","","","","Tackle","Normal","12","Struggle","Normal","15","133kg","171kg","1.57m","2.02m","1km (Medium)","150 stamina points.","194 attack points.","194 defense points.","5% chance to flee.","","","","","","","","","116","Horsea","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","117","Seadra","","","","","",""
"231","Phanpy","Generation II","For its nest, Phanpy digs a vertical pit in the ground at the edge of a river. It marks the area around its nest with its trunk to let the others know that the area has been claimed.","Ground","","Electric","Poison","Rock","","","","","","","","","","Water","Grass","Ice","","","","","Tackle","Normal","12","Struggle","Normal","15","29.31kg","37.69kg","0.45m","0.57m","1km (Medium)","180 stamina points.","107 attack points.","107 defense points.","5% chance to flee.","","","","","","","","","","","","","232","Donphan","",""
"232","Donphan","Generation II","Donphan's favorite attack is curling its body into a ball, then charging at its foe while rolling at high speed. Once it starts rolling, this Pokémon can't stop very easily.","Ground","","Electric","Poison","Rock","","","","","","","","","","Water","Grass","Ice","","","","","Tackle","Normal","12","Struggle","Normal","15","105kg","135kg","0.95m","1.23m","1km (Medium)","180 stamina points.","214 attack points.","214 defense points.","5% chance to flee.","","","","","","","","","231","Phanpy","","","","","",""
"233","Porygon2","Generation II","Porygon2 was created by humans using the power of science. The man-made Pokémon has been endowed with artificial intelligence that enables it to learn new gestures and emotions on its own.","Normal","","Ghost","","","","","","","","","","","","Fighting","","","","","","","Tackle","Normal","12","Struggle","Normal","15","28.44kg","36.56kg","0.53m","0.69m","1km (Medium)","170 stamina points.","198 attack points.","183 defense points.","5% chance to flee.","","","","","","","","","137","Porygon","","","","","",""
"234","Stantler","Generation II","Stantler's magnificent antlers were traded at high prices as works of art. As a result, this Pokémon was hunted close to extinction by those who were after the priceless antlers.","Normal","","Ghost","","","","","","","","","","","","Fighting","","","","","","","Tackle","Normal","12","Struggle","Normal","15","62.3kg","80.1kg","1.22m","1.57m","1km (Medium)","146 stamina points.","192 attack points.","132 defense points.","5% chance to flee.","","","","","","","","","","","","","","","",""
"235","Smeargle","Generation II","Smeargle marks the boundaries of its territory using a body fluid that leaks out from the tip of its tail. Over 5,000 different marks left by this Pokémon have been found.","Normal","","Ghost","","","","","","","","","","","","Fighting","","","","","","","Tackle","Normal","12","Struggle","Normal","15","50.75kg","65.25kg","1.04m","1.34m","1km (Medium)","110 stamina points.","40 attack points.","88 defense points.","5% chance to flee.","","","","","","","","","","","","","","","",""
"236","Tyrogue","Generation II","Tyrogue becomes stressed out if it does not get to train every day. When raising this Pokémon, the Trainer must establish and uphold various training methods.","Fighting","","Bug","Rock","Dark","","","","","","","","","","Flying","Psychic","Fairy","","","","","Low Kick","Fighting","5","Body Slam","Normal","40","18.38kg","23.63kg","0.62m","0.8m","5km (Medium)","70 stamina points.","64 attack points.","64 defense points.","5% chance to flee.","","","","","","","","","","","25","Tyrogue candies","106","Hitmonlee","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","Rock Smash","Fighting","15","Brick Break","Fighting","30","","","","","","","","","","","","","","","","","","","","","","107","Hitmonchan","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","Low Sweep","Fighting","30","","","","","","","","","","","","","","","","","","","","","","237","Hitmontop","",""
"237","Hitmontop","Generation II","Hitmontop spins on its head at high speed, all the while delivering kicks. This technique is a remarkable mix of both offense and defense at the same time. The Pokémon travels faster spinning than it does walking.","Fighting","","Bug","Rock","Dark","","","","","","","","","","Flying","Psychic","Fairy","","","","","Tackle","Normal","12","Struggle","Normal","15","42kg","54kg","1.22m","1.57m","5km (Medium)","100 stamina points.","173 attack points.","214 defense points.","5% chance to flee.","","","","","","","","","236","Tyrogue","","","","","",""
"238","Smoochum","Generation II","Smoochum actively runs about, but also falls quite often. Whenever the chance arrives, it will look for its reflection to make sure its face hasn't become dirty.","Ice","Psychic","Ice","Psychic","","","","","","","","","","","Fire","Bug","Rock","Ghost","Dark","Steel","","Frost Breath","Ice","9","Ice Beam","Ice","65","5.25kg","6.75kg","0.36m","0.46m","5km (Medium)","90 stamina points.","153 attack points.","116 defense points.","5% chance to flee.","","","","","","","","","","","25","Jyn","124","Jynx","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","Pound","Normal","7","Ice Punch","Ice","45","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","Psyshock","Psychic","40","","","","","","","","","","","","","","","","","","","","","","","","",""
"239","Elekid","Generation II","Elekid stores electricity in its body. If it touches metal and accidentally discharges all its built-up electricity, this Pokémon begins swinging its arms in circles to recharge itself.","Electric","","Electric","Flying","Steel","","","","","","","","","","Ground","","","","","","","Low Kick","Fighting","5","Discharge","Electric","35","20.56kg","26.44kg","0.53m","0.69m","5km (Medium)","90 stamina points.","135 attack points.","110 defense points.","5% chance to flee.","","","","","","","","","","","25","Electabuzz candies","125","Electabuzz","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","Thunder Shock","Electric","5","Thunder Punch","Electric","40","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","Thunderbolt","Electric","55","","","","","","","","","","","","","","","","","","","","","","","","",""
"240","Magby","Generation II","Magby's state of health is determined by observing the fire it breathes. If the Pokémon is spouting yellow flames from its mouth, it is in good health. When it is fatigued, black smoke will be mixed in with the flames.","Fire","","Fire","Grass","Ice","Bug","Steel","Fairy","","","","","","","Water","Ground","Rock","","","","","Ember","Fire","10","Brick Break","Fighting","30","18.72kg","24.07kg","0.62m","0.8m","5km (Medium)","90 stamina points.","151 attack points.","108 defense points.","5% chance to flee.","","","","","","","","","","","25","Magmar candies","126","Magmar","",""
